"names","center_x","center_y","cluster_no","cell_type"
"2997859600416100270-mPFC_NF3_r1-mPFC","11695.6099299941","1030.793366735","4","N_Arhgap25"
"2997859600416100271-mPFC_NF3_r1-mPFC","11725.9302697139","1036.78602809068","13","N_Sst"
"2997859600416100273-mPFC_NF3_r1-mPFC","11702.5329039644","1046.57576409017","1","N_Slc30a3"
"2997859600416100277-mPFC_NF3_r1-mPFC","11684.0005204057","1051.76294728199","1","N_Slc30a3"
"2997859600416100299-mPFC_NF3_r1-mPFC","11681.0453452533","1084.89857243208","4","N_Arhgap25"
"2997859600416200008-mPFC_NF3_r1-mPFC","11669.9373339931","999.445134855477","13","N_Sst"
"2997859600416200029-mPFC_NF3_r1-mPFC","11666.2031112095","1070.76978810516","11","N_Lhx6"
"2997859600416200032-mPFC_NF3_r1-mPFC","11708.6267266728","1084.24588615131","20","N_Npy"
"2997859600416200035-mPFC_NF3_r1-mPFC","11699.5649980369","1087.53617077313","4","N_Arhgap25"
"2997859600416200039-mPFC_NF3_r1-mPFC","11723.3935424065","983.007995926343","14","N_Sept4/Crym"
"2997859600417100014-mPFC_NF3_r1-mPFC","11803.1998390078","979.009741090195","14","N_Sept4/Crym"
"2997859600417100031-mPFC_NF3_r1-mPFC","11761.5655014664","991.061284796253","1","N_Slc30a3"
"2997859600417100082-mPFC_NF3_r1-mPFC","11818.3820998921","1016.12987194192","1","N_Slc30a3"
"2997859600417100092-mPFC_NF3_r1-mPFC","11746.4594468588","1025.41676344682","13","N_Sst"
"2997859600417100098-mPFC_NF3_r1-mPFC","11830.3820324212","1023.64986640386","1","N_Slc30a3"
"2997859600417100106-mPFC_NF3_r1-mPFC","11758.6750584774","1028.87285524373","15","N_Nptx1/Car4"
"2997859600417100142-mPFC_NF3_r1-mPFC","11764.5761162457","1055.64546331873","4","N_Arhgap25"
"2997859600417100160-mPFC_NF3_r1-mPFC","11823.6205607507","1074.21626875845","8","N_Nptx1/Itm2a"
"2997859600417100193-mPFC_NF3_r1-mPFC","11761.5241059761","1088.65376325471","14","N_Sept4/Crym"
"2997859600417100216-mPFC_NF3_r1-mPFC","11788.6773287587","999.526636916765","14","N_Sept4/Crym"
"2997859600417100219-mPFC_NF3_r1-mPFC","11793.7556863253","1012.11528494414","14","N_Sept4/Crym"
"2997859600417100222-mPFC_NF3_r1-mPFC","11826.6861789008","1019.62252436822","1","N_Slc30a3"
"2997859600417100223-mPFC_NF3_r1-mPFC","11746.3651580499","1043.66209637137","4","N_Arhgap25"
"2997859600417100233-mPFC_NF3_r1-mPFC","11779.8189896532","1082.15910928916","1","N_Slc30a3"
"2997859600417100238-mPFC_NF3_r1-mPFC","11793.8306585824","1001.59129293368","1","N_Slc30a3"
"2997859600417100240-mPFC_NF3_r1-mPFC","11749.7239472071","1072.29748115776","14","N_Sept4/Crym"
"2997859600417100241-mPFC_NF3_r1-mPFC","11757.4170929917","1071.36344681458","14","N_Sept4/Crym"
"2997859600417100242-mPFC_NF3_r1-mPFC","11814.2953002754","1077.57281989724","13","N_Sst"
"2997859600417200039-mPFC_NF3_r1-mPFC","11798.7743745353","979.51049885718","14","N_Sept4/Crym"
"2997859600417200046-mPFC_NF3_r1-mPFC","11850.5533591917","1028.21435062262","14","N_Sept4/Crym"
"2997859600417200071-mPFC_NF3_r1-mPFC","11772.0381784023","1082.25793062062","1","N_Slc30a3"
"2997859600418100049-mPFC_NF3_r1-mPFC","11942.3904948458","994.080571948893","1","N_Slc30a3"
"2997859600418100096-mPFC_NF3_r1-mPFC","11964.2668545867","1022.3157795276","8","N_Nptx1/Itm2a"
"2997859600418100097-mPFC_NF3_r1-mPFC","11936.7609997668","1023.14340608615","4","N_Arhgap25"
"2997859600418100098-mPFC_NF3_r1-mPFC","11946.6140715906","1025.95305612225","4","N_Arhgap25"
"2997859600418100099-mPFC_NF3_r1-mPFC","11956.1649211421","1024.37856151435","1","N_Slc30a3"
"2997859600418100124-mPFC_NF3_r1-mPFC","11874.3888832173","1041.90145483617","14","N_Sept4/Crym"
"2997859600418100128-mPFC_NF3_r1-mPFC","11962.8812948542","1048.0649695672","4","N_Arhgap25"
